Date,Value
2023-08-08,69.2
2023-08-09,67.31429
2023-08-10,66.34286
2023-08-11,65.02857
2023-08-14,66.28571
2023-08-15,54.5
2023-08-16,49.48571
2023-08-17,46.14286
2023-08-18,43.65714
2023-08-21,43.48571
2023-08-22,43.44286
2023-08-23,50.17143
2023-08-24,40.58571
2023-08-25,47.02857
2023-08-28,45.28571
2023-08-29,49.17143
2023-08-30,50.42857
2023-08-31,52.94286
2023-09-01,55.02857
2023-09-05,59.08571
2023-09-06,56.71429
2023-09-07,53.62857
2023-09-08,51.91429
2023-09-11,52.2
2023-09-12,51.4
2023-09-13,51.4
2023-09-14,54.42857
2023-09-15,52.02857
2023-09-18,49.48571
2023-09-19,49.94286
2023-09-20,48.28571
2023-09-21,37.15714
2023-09-22,33.15714
2023-09-25,38.42857
2023-09-26,24.22857
2023-09-27,22.82857
2023-09-28,29.0
2023-09-29,28.4
2023-10-02,28.31429
2023-10-03,20.52857
2023-10-04,20.98571
2023-10-05,20.32857
2023-10-06,27.71429
2023-10-09,29.25714
2023-10-10,32.31429
2023-10-11,34.34286
2023-10-12,35.68571
2023-10-13,26.27143
2023-10-16,35.74286
2023-10-17,39.14286
2023-10-18,30.57143
2023-10-19,29.54286
2023-10-20,22.85714
2023-10-23,25.84286
2023-10-24,33.48571
2023-10-25,25.21429
2023-10-26,22.71429
2023-10-27,23.89727
2023-10-30,30.65714
2023-10-31,30.57143
2023-11-01,32.05714
2023-11-02,32.37143
2023-11-03,41.6
2023-11-06,41.37143
2023-11-07,40.82857
2023-11-08,40.08571
2023-11-09,41.42857
2023-11-10,42.25714
2023-11-13,40.51429
2023-11-14,47.05714
2023-11-15,53.4
2023-11-16,54.85714
2023-11-17,58.17143
2023-11-20,62.17143
2023-11-21,64.0
2023-11-22,66.37143
2023-11-24,68.2
2023-11-27,65.05714
2023-11-28,65.4
2023-11-29,63.57143
2023-11-30,66.34286
2023-12-01,66.85714
2023-12-04,68.4
2023-12-05,66.54286
2023-12-06,62.88571
2023-12-07,64.11429
2023-12-08,67.62857
2023-12-11,67.71429
2023-12-12,67.94286
2023-12-13,69.28571
2023-12-14,70.94286
2023-12-15,66.91429
2023-12-18,76.6
2023-12-19,79.71429
2023-12-20,71.54286
2023-12-21,74.0
2023-12-22,76.8
2023-12-26,78.97143
2023-12-27,77.48571
2023-12-28,77.28571
2023-12-29,76.42857
2024-01-02,75.91429
2024-01-03,72.28571
2024-01-04,74.45714
2024-01-05,73.68571
2024-01-08,74.4
2024-01-09,73.0
2024-01-10,74.57143
2024-01-11,72.48571
2024-01-12,70.88571
2024-01-16,70.4
2024-01-17,57.77815
2024-01-18,66.11429
2024-01-19,71.85714
2024-01-22,71.42857
2024-01-23,73.48571
2024-01-24,76.14286
2024-01-25,77.4
2024-01-26,76.74286
2024-01-29,76.97143
2024-01-30,74.11429
2024-01-31,64.87901
2024-02-01,70.4
2024-02-02,66.97143
2024-02-05,73.45714
2024-02-06,73.37143
2024-02-07,75.2
2024-02-08,76.57143
2024-02-09,77.8
2024-02-12,77.88571
2024-02-13,68.80279
2024-02-14,73.30361
2024-02-15,76.28571
2024-02-16,77.28571
2024-02-20,67.27075
2024-02-21,69.72177
2024-02-22,78.45714
2024-02-23,77.74286
2024-02-26,75.91429
2024-02-27,77.62857
2024-02-28,78.65714
2024-02-29,79.11429
2024-03-01,77.34286
2024-03-04,78.77143
2024-03-05,74.31429
2024-03-06,73.88571
2024-03-07,74.71429
2024-03-08,71.37143
2024-03-11,66.69824
2024-03-12,69.31429
2024-03-13,69.48571
2024-03-14,72.8
2024-03-15,70.37143
2024-03-18,71.65714
2024-03-19,70.62857
2024-03-20,72.77143
2024-03-21,74.82857
2024-03-22,71.77143
2024-03-25,67.68571
2024-03-26,67.28571
2024-03-27,70.02857
2024-03-28,70.68571
2024-04-01,72.51429
2024-04-02,63.17143
2024-04-03,61.65714
2024-04-04,48.80772
2024-04-05,61.20952
2024-04-08,66.02857
2024-04-09,61.17143
2024-04-10,54.08947
2024-04-11,58.62857
2024-04-12,46.27829
2024-04-15,41.14872
2024-04-16,37.72297
2024-04-17,34.575
2024-04-18,34.11252
2024-04-19,31.24042
2024-04-22,37.57143
2024-04-23,40.37143
2024-04-24,41.2
2024-04-25,40.42857
2024-04-26,41.94286
2024-04-29,43.62857
2024-04-30,40.68571
2024-05-01,40.25714
2024-05-02,36.28571
2024-05-03,39.6
2024-05-06,40.28571
2024-05-07,38.71429
2024-05-08,39.4
2024-05-09,44.14286
2024-05-10,47.51429
2024-05-13,49.88571
2024-05-14,54.02857
2024-05-15,59.77143
2024-05-16,60.37143
2024-05-17,64.51429
2024-05-20,64.31429
2024-05-21,62.6
2024-05-22,58.8
2024-05-23,53.77143
2024-05-24,53.14286
2024-05-28,52.51429
2024-05-29,47.48571
2024-05-30,45.48571
2024-05-31,48.42857
2024-06-03,51.08571
2024-06-04,41.71429
2024-06-05,45.54286
2024-06-06,45.14286
2024-06-07,45.28571
2024-06-10,47.57143
2024-06-11,46.05714
2024-06-12,46.94286
2024-06-13,43.17143
2024-06-14,38.4
2024-06-17,41.97143
2024-06-18,42.31429
2024-06-20,40.2
2024-06-21,40.8
2024-06-24,39.62857
2024-06-25,39.08571
2024-06-26,41.48571
2024-06-27,46.0
2024-06-28,43.77143
2024-07-01,48.08571
2024-07-02,50.22857
2024-07-03,43.74286
2024-07-05,53.94286
2024-07-08,52.74286
2024-07-09,52.34286
2024-07-10,57.82857
2024-07-11,51.85714
2024-07-12,56.48571
2024-07-15,62.08571
2024-07-16,63.77143
2024-07-17,53.90576
2024-07-18,50.62857
2024-07-19,49.23561
2024-07-22,55.84898
2024-07-23,55.54447
2024-07-24,41.15635
2024-07-25,39.37065
2024-07-26,45.261
2024-07-29,45.81905
2024-07-30,42.21504
2024-07-31,52.49425
2024-08-01,39.70037
2024-08-02,27.03327
2024-08-05,19.05714
2024-08-06,20.85185
2024-08-07,19.72334
2024-08-08,23.99346
2024-08-09,23.94286
2024-08-12,23.6
2024-08-13,24.68571
2024-08-14,26.08571
2024-08-15,32.97143
2024-08-16,35.08571
2024-08-19,41.31429
2024-08-20,44.88571
2024-08-21,50.51429
2024-08-22,47.54286
2024-08-23,52.85714
2024-08-26,53.97143
2024-08-27,52.85714
2024-08-28,51.97143
2024-08-29,57.6
2024-08-30,63.42857
2024-09-03,65.4
2024-09-04,52.82857
2024-09-05,46.77143
2024-09-06,39.25714
2024-09-09,42.08571
2024-09-10,39.54286
2024-09-11,43.08571
2024-09-12,42.8
2024-09-13,42.8
2024-09-16,54.08571
2024-09-17,
2024-09-18,60.82857
2024-09-19,
2024-09-20,63.85714
2024-09-23,65.05714
2024-09-24,66.48571
2024-09-25,67.08571
2024-09-26,68.82857
2024-09-27,72.77143
2024-09-30,
2024-10-01,
2024-10-02,
2024-10-03,
2024-10-04,73.6
2024-10-07,69.42857
2024-10-08,70.6
2024-10-09,71.42857
2024-10-10,69.08571
2024-10-11,
2024-10-14,75.08571
2024-10-15,66.94286
2024-10-16,69.45714
2024-10-17,71.62857
2024-10-18,74.68571
2024-10-21,73.02857
2024-10-22,70.25714
2024-10-23,63.11429
2024-10-24,63.4
2024-10-25,58.91429
2024-10-28,61.74286
2024-10-29,60.22857
2024-10-30,57.54286
2024-10-31,43.50893
2024-11-01,48.8
2024-11-04,42.88571
2024-11-05,43.54286
2024-11-06,57.91429
2024-11-07,59.6
2024-11-08,60.54286
2024-11-11,67.91429
2024-11-12,68.65714
2024-11-13,67.51429
2024-11-14,60.28571
2024-11-15,50.91429
2024-11-18,50.14286
2024-11-19,50.42857
2024-11-20,50.82857
2024-11-21,57.62857
2024-11-22,60.91429
2024-11-25,61.45714
2024-11-26,64.4
2024-11-27,64.34286
