,vol20d,hyig_diff_bps,FGI,ig_level_pct,dxy_ma_gap20,vix_ma_gap20,hy_vol_20d_bps,fgi_hyig_inter,yc_slope_sq,vix_yc_inter,dxy_vix_inter
2023-06-15,0.3538110907375458,-0.08682023561047865,-0.08475007073238525,0.017495011188607495,0.1063618790274846,0.2089598102811655,-0.13489513510748014,0.051966812701477676,-0.13781781460549714,-0.024951369536160964,0.09956248950061343
2023-06-16,0.36255316298638013,-0.07862393475957205,-0.09300652461462337,0.023448273888524728,0.11073291515190178,0.2115095813537422,-0.1290670824655728,0.06083031112953344,-0.1466818678796833,-0.01924473027484921,0.10284076659392632
2023-06-19,0.3710523998949691,-0.07036690377323862,-0.10150579588608108,0.029826661690905563,0.11534678661656435,0.2139379347561962,-0.12323902982366546,0.06981522734427491,-0.15566725686403982,-0.014023759747419108,0.1062404613573619
2023-06-20,0.3795516368035581,-0.0621098847140133,-0.11000510613687829,0.036205072032137915,0.11947498740073612,0.2160020351482821,-0.11728955941838505,0.07880015868891942,-0.1646527303491716,-0.00880279460521494,0.10939732078055209
2023-06-21,0.3882937090523924,-0.05433855994041242,-0.1182615600191164,0.043008676656985156,0.12639579459772998,0.21758046485987717,-0.11134008901310465,0.08778507662879621,-0.1736382038343034,-0.0030961553439031856,0.11510395127631895
2023-06-22,0.39703578130122674,-0.04735653762110998,-0.12676087511903203,0.04938716754241089,0.13428794315570544,0.21879464156110418,-0.10539061860782425,0.09664857675867468,-0.18262367731943516,0.002246230347537605,0.12141767012269931
2023-06-23,0.40577785355006113,-0.040253172926957945,-0.1352601675120706,0.05540089006466289,0.141330168022822,0.21976598292208577,-0.09931973043917078,0.10526924126855645,-0.19160915080456695,0.007345780325731087,0.1270028829483435
2023-06-26,0.41367000210803656,-0.03466752059593637,-0.14327378605407834,0.06111124574552139,0.14642971016797537,0.21794471787024527,-0.09361309556063652,0.11316139891844823,-0.2005946628093456,0.01305241958704284,0.13137391907276066
2023-06-27,0.4193766326038034,-0.02914263019502049,-0.15043747535678229,0.06688200842901411,0.152622011344233,0.21612345281840478,-0.08790646068210227,0.12056788532834667,-0.20958025875538253,0.018759058848354597,0.1367162965581594
2023-06-28,0.42532609843981567,-0.022039202963225004,-0.15832967543603235,0.07283517539181464,0.1589357301906134,0.21612345281840478,-0.08329258567392561,0.12870287859823512,-0.2185657811130019,0.024465698109666346,0.1421800917136809
2023-06-29,0.43078989359533715,-0.014753524532864052,-0.16658613090355548,0.0787884180868804,0.1639138546656441,0.2160020351482821,-0.07758595079539135,0.13683787186812355,-0.2268227106217153,0.028958158804741556,0.14703679851858886
2023-06-30,0.43236832330693226,-0.006496407921878409,-0.17508542329659404,0.08480209289396515,0.16864914380042936,0.21503069378730047,-0.0726078224970955,0.14545853637800535,-0.23544346431621946,0.03417912663955869,0.15189350532349682
2023-07-03,0.43418958835877275,0.002064279549163118,-0.18358471568963258,0.09063375544254729,0.1732630152650919,0.2122380873744784,-0.0643514145877268,0.15395778307788877,-0.24388237527468407,0.040007183757494104,0.15638595911803674
2023-07-04,0.4363751064209814,0.01068568237213849,-0.19184117115715577,0.09634409171332822,0.1764198746882821,0.2110239106732514,-0.05609500667835807,0.1623356119677739,-0.25250326863970557,0.04595665873205316,0.15966423621134962
2023-07-05,0.438924877493558,0.01882137236001666,-0.1998548280724092,0.10199362261908113,0.1776340513895091,0.20920264562141092,-0.04783860795416403,0.1705920558019381,-0.2607601680229707,0.051541890032973846,0.1607569952424539
2023-07-06,0.4426888252673617,0.02574278026015182,-0.207382774208794,0.1075214022598763,0.1788482280907361,0.20568153318785265,-0.03970362386945555,0.17811996146721934,-0.26907746988229314,0.05688427675017254,0.1622140072839263
2023-07-07,0.4439012211860104,0.021029687473278397,-0.20558682974550235,0.10404572152648686,0.17498838473500422,0.20973007031457663,-0.04455473932557269,0.1755981239985996,-0.26417418179652125,0.048516542998245135,0.157922293573109
2023-07-10,0.4457297309533563,0.027795776847653938,-0.2114381003223088,0.1095349675934677,0.1759635899442554,0.20400073971022611,-0.036143584705970726,0.18230266882325974,-0.27228089300348296,0.05375828005584449,0.15840989617773457
2023-07-11,0.4475582407207022,0.0341960742324722,-0.21826458266191637,0.1150853886555691,0.17742639775813213,0.19851521040818837,-0.027732435411094346,0.18900721364791992,-0.2805707257285577,0.0588781162516392,0.15901939943351656
2023-07-12,0.44792394267417135,0.04163265365557666,-0.22521296647187405,0.12069737915720738,0.17962060947894723,0.19498009152465293,-0.018833675916545393,0.1963212625475492,-0.28867759223342365,0.06387605158562927,0.16060410789854968
2023-07-13,0.45255616741811433,0.049678779228981,-0.23264895616323228,0.12630844689214615,0.18254622510670068,0.1932734824084634,-0.01042251968197172,0.20400101389215994,-0.2971501249788685,0.06838638347240081,0.1626764189682084
2023-07-14,0.45633508760396263,0.05711537916042024,-0.2397192414435401,0.13185853195419855,0.18547184073445416,0.19059166808302272,-0.0038398756723053706,0.21107126116180158,-0.3055620526645033,0.07289671535917233,0.1649925313401799
2023-07-17,0.46047970974328006,0.06266226480795277,-0.24654572378314765,0.13710431011028956,0.18742225115295646,0.18778795310642565,0.0032303715973362643,0.21777580598646173,-0.3138518474548715,0.07740704724594387,0.16608963720058745
2023-07-18,0.4646243318825974,0.0688793697441428,-0.25264079730065436,0.14259393735934664,0.18790985375758204,0.1865689465948617,0.010056817236990258,0.22350514429117138,-0.32122758285930614,0.08118597396188759,0.16584583589827465
2023-07-19,0.46852515271960204,0.0725976087240607,-0.2592234766995617,0.14784033126705634,0.18998216482724076,0.1871784498506437,0.017005163691638073,0.22911258178088711,-0.3285421260131243,0.0845991980924174,0.16706484240983857
2023-07-20,0.4568946926717175,0.06022777856109409,-0.24927215190319324,0.14087732753807833,0.18030524013220847,0.18710462965907965,0.009592008831568048,0.21843068212646735,-0.3189835124272894,0.08177494213712105,0.1608784129125766
2023-07-21,0.4617513994766255,0.0633848676846822,-0.25473598377637574,0.14597994917758894,0.179698151781595,0.18394777023588946,0.014812975663940532,0.22328739545890683,-0.3253582631979278,0.08566031429508374,0.15966423621134962
2023-07-24,0.46685094162177887,0.06520628445021678,-0.25947130473313396,0.15102098734937977,0.18042665780233116,0.18115516382306737,0.020033942496313014,0.22753701962479142,-0.33003179448147035,0.0886957612934921,0.159907071551595
2023-07-25,0.46940071269435557,0.06684551007492097,-0.2639637887177507,0.15612341842862412,0.18030524013220847,0.1786053927504907,0.02391931316226463,0.23178664379067604,-0.3340388671674516,0.0912455367721551,0.159907071551595
2023-07-26,0.4726789897876685,0.06884877632925587,-0.26821343573022594,0.1614689061554359,0.18006240479196306,0.1769055453687729,0.02865460866139316,0.23603626795656063,-0.33743817068835574,0.09343105861100912,0.159907071551595
2023-07-27,0.4718164703008247,0.08088693726793854,-0.26787848109442125,0.16089106628718136,0.1890069596179896,0.18827555571105123,0.03285226964083484,0.23715803557047935,-0.3346964888696561,0.08581820671046375,0.16767434566562053
2023-07-28,0.47050172320402783,0.09437634538489119,-0.26817799249797847,0.16369056706209972,0.19547118937482633,0.19436959845161192,0.038310935820324535,0.2399023457119364,-0.32988327066024326,0.07656070146252575,0.17478575981668878
2023-07-31,0.4532434654070018,0.09180578344833773,-0.2561828107249059,0.1513193385209325,0.20146873995677153,0.19999995205915228,0.027662209250457977,0.2299880140779227,-0.3129293648000305,0.06823755566004494,0.180783310398634
2023-08-01,0.43659720256731716,0.08874559066672648,-0.24467722820787718,0.13998619999524517,0.20220313390558114,0.20697669457284365,0.01799267592839523,0.22031848075585994,-0.29609811274881076,0.05893521623374285,0.18127290636450707
